full_names	species	clades	nb_rnaseq
Carica_papaya	Carica_papaya	Carica papaya	Embryophyta	50
Carpinus_fangiana	Carpinus_fangiana	Carpinus fangiana	Embryophyta	6
Carya_illinoinensis	Carya_illinoinensis	Carya illinoinensis	Embryophyta	50
Catharus_ustulatus	Catharus_ustulatus	Catharus ustulatus	Aves	21
Centruroides_sculpturatus	Centruroides_sculpturatus	Centruroides sculpturatus	Other Invertebrates	8
Cephalotus_follicularis	Cephalotus_follicularis	Cephalotus follicularis	Embryophyta	17
Cephus_cinctus	Cephus_cinctus	Cephus cinctus	Hymenoptera	17
Ceratitis_capitata	Ceratitis_capitata	Ceratitis capitata	Lepido Diptera	29
Ceratodon_purpureus	Ceratodon_purpureus	Ceratodon purpureus	Embryophyta	5
Ceratosolen_solmsi	Ceratosolen_solmsi	Ceratosolen solmsi	Hymenoptera	20
Ceratotherium_simum	Ceratotherium_simum	Ceratotherium simum	Mammalia	2
Cervus_elaphus	Cervus_elaphus	Cervus elaphus	Mammalia	3
Chelonus_insularis	Chelonus_insularis	Chelonus insularis	Hymenoptera	5
Chenopodium_quinoa	Chenopodium_quinoa	Chenopodium quinoa	Embryophyta	50
Chiroxiphia_lanceolata	Chiroxiphia_lanceolata	Chiroxiphia lanceolata	Aves	3
Cicer_arietinum	Cicer_arietinum	Cicer arietinum	Embryophyta	50
Cimex_lectularius	Cimex_lectularius	Cimex lectularius	Other Insecta	10
Cinnamomum_micranthum	Cinnamomum_micranthum	Cinnamomum micranthum	Embryophyta	8
Citrus_clementina	Citrus_clementina	Citrus clementina	Embryophyta	50
Citrus_sinensis	Citrus_sinensis	Citrus sinensis	Embryophyta	50
Citrus_unshiu	Citrus_unshiu	Citrus unshiu	Embryophyta	23
Clarias_magur	Clarias_magur	Clarias magur	Teleostei	21
Cloeon_dipterum	Cloeon_dipterum	Cloeon dipterum	Other Insecta	50
Clonorchis_sinensis	Clonorchis_sinensis	Clonorchis sinensis	Other Invertebrates	10
Coffea_arabica	Coffea_arabica	Coffea arabica	Embryophyta	50
Coffea_canephora	Coffea_canephora	Coffea canephora	Embryophyta	50
Coffea_eugenioides	Coffea_eugenioides	Coffea eugenioides	Embryophyta	41
Colossoma_macropomum	Colossoma_macropomum	Colossoma macropomum	Teleostei	47
Contarinia_nasturtii	Contarinia_nasturtii	Contarinia nasturtii	Lepido Diptera	8
Coptis_chinensis	Coptis_chinensis	Coptis chinensis	Embryophyta	23
Coptotermes_formosanus	Coptotermes_formosanus	Coptotermes formosanus	Other Insecta	18
Corchorus_capsularis	Corchorus_capsularis	Corchorus capsularis	Embryophyta	50
